"id","setId","slot","name","parts","icon","worldPrefab","gridW","gridH","itemType","weight"
"207","2","Back","Preset_2 Back","Chr_BackAttachment_06","set_002_Back.png","Assets/Game/Prefabs/Equipment/World/set_002_Back_World.prefab","4","3","BackSlot","2"
"301","3","Head","Preset_3 Head","Chr_HelmetAttachment_09","set_003_Head.png","Assets/Game/Prefabs/Equipment/World/set_003_Head_World.prefab","3","3","Head","1.5"
"302","3","Body","Preset_3 Body","Chr_Torso_Male_11;Chr_ArmUpperRight_Male_04;Chr_ArmUpperLeft_Male_17;Chr_ShoulderAttachRight_07;Chr_ShoulderAttachLeft_07","set_003_Body.png","Assets/Game/Prefabs/Equipment/World/set_003_Body_World.prefab","4","6","Body","7"
"304","3","Forearm","Preset_3 Forearm","Chr_ArmLowerRight_Male_18;Chr_ArmLowerLeft_Male_18;Chr_HandRight_Male_04;Chr_HandLeft_Male_04","set_003_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_003_Forearm_World.prefab","2","3","Forearm","2"
"305","3","Hips","Preset_3 Hips","Chr_HipsAttachment_12;Chr_Hips_Male_02","set_003_Hips.png","Assets/Game/Prefabs/Equipment/World/set_003_Hips_World.prefab","4","5","Hips","3"
"306","3","Leg","Preset_3 Leg","Chr_LegRight_Male_08;Chr_LegLeft_Male_08;Chr_KneeAttachLeft_01","set_003_Leg.png","Assets/Game/Prefabs/Equipment/World/set_003_Leg_World.prefab","4","3","Leg","4"
"307","3","Back","Preset_3 Back","Chr_BackAttachment_13","set_003_Back.png","Assets/Game/Prefabs/Equipment/World/set_003_Back_World.prefab","4","3","BackSlot","2"
"402","4","Body","Preset_4 Body","Chr_Torso_Male_20;Chr_ArmUpperRight_Male_18;Chr_ArmUpperLeft_Male_18;Chr_ShoulderAttachRight_05","set_004_Body.png","Assets/Game/Prefabs/Equipment/World/set_004_Body_World.prefab","4","6","Body","7"
"404","4","Forearm","Preset_4 Forearm","Chr_ArmLowerRight_Male_14;Chr_ArmLowerLeft_Male_14;Chr_HandRight_Male_16;Chr_HandLeft_Male_16","set_004_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_004_Forearm_World.prefab","2","3","Forearm","2"
"405","4","Hips","Preset_4 Hips","Chr_HipsAttachment_06;Chr_Hips_Male_14","set_004_Hips.png","Assets/Game/Prefabs/Equipment/World/set_004_Hips_World.prefab","4","5","Hips","3"
"406","4","Leg","Preset_4 Leg","Chr_LegRight_Male_16;Chr_KneeAttachRight_04;Chr_LegLeft_Male_16","set_004_Leg.png","Assets/Game/Prefabs/Equipment/World/set_004_Leg_World.prefab","4","3","Leg","4"
"407","4","Back","Preset_4 Back","Chr_BackAttachment_12","set_004_Back.png","Assets/Game/Prefabs/Equipment/World/set_004_Back_World.prefab","4","3","BackSlot","2"
"502","5","Body","Preset_5 Body","Chr_Torso_Female_12;Chr_ArmUpperRight_Female_01;Chr_ArmUpperLeft_Female_01;Chr_ShoulderAttachRight_19;Chr_ShoulderAttachLeft_19","set_005_Body.png","Assets/Game/Prefabs/Equipment/World/set_005_Body_World.prefab","4","6","Body","7"
"504","5","Forearm","Preset_5 Forearm","Chr_ArmLowerRight_Female_05;Chr_ArmLowerLeft_Female_09;Chr_HandRight_Female_03;Chr_HandLeft_Female_03","set_005_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_005_Forearm_World.prefab","2","3","Forearm","2"
"505","5","Hips","Preset_5 Hips","Chr_Hips_Female_28","set_005_Hips.png","Assets/Game/Prefabs/Equipment/World/set_005_Hips_World.prefab","4","5","Hips","3"
"506","5","Leg","Preset_5 Leg","Chr_LegRight_Female_09;Chr_KneeAttachRight_11;Chr_LegLeft_Female_09;Chr_KneeAttachLeft_11","set_005_Leg.png","Assets/Game/Prefabs/Equipment/World/set_005_Leg_World.prefab","4","3","Leg","4"
"602","6","Body","Preset_6 Body","Chr_Torso_Male_17;Chr_ArmUpperRight_Male_10;Chr_ArmUpperLeft_Male_10;Chr_ShoulderAttachRight_15;Chr_ShoulderAttachLeft_15","set_006_Body.png","Assets/Game/Prefabs/Equipment/World/set_006_Body_World.prefab","4","6","Body","7"
"604","6","Forearm","Preset_6 Forearm","Chr_ArmLowerRight_Male_04;Chr_ArmLowerLeft_Male_04;Chr_HandRight_Male_05;Chr_HandLeft_Male_05","set_006_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_006_Forearm_World.prefab","2","3","Forearm","2"
"605","6","Hips","Preset_6 Hips","Chr_HipsAttachment_02;Chr_Hips_Male_23","set_006_Hips.png","Assets/Game/Prefabs/Equipment/World/set_006_Hips_World.prefab","4","5","Hips","3"
"606","6","Leg","Preset_6 Leg","Chr_LegRight_Male_16;Chr_KneeAttachRight_01;Chr_LegLeft_Male_16;Chr_KneeAttachLeft_01","set_006_Leg.png","Assets/Game/Prefabs/Equipment/World/set_006_Leg_World.prefab","4","3","Leg","4"
"702","7","Body","Preset_7 Body","Chr_Torso_Male_27;Chr_ArmUpperRight_Male_17;Chr_ArmUpperLeft_Male_17;Chr_ShoulderAttachRight_05;Chr_ShoulderAttachLeft_05","set_007_Body.png","Assets/Game/Prefabs/Equipment/World/set_007_Body_World.prefab","4","6","Body","7"
"704","7","Forearm","Preset_7 Forearm","Chr_ArmLowerRight_Male_16;Chr_ArmLowerLeft_Male_02;Chr_HandRight_Male_17;Chr_HandLeft_Male_17","set_007_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_007_Forearm_World.prefab","2","3","Forearm","2"
"705","7","Hips","Preset_7 Hips","Chr_HipsAttachment_08;Chr_Hips_Male_15","set_007_Hips.png","Assets/Game/Prefabs/Equipment/World/set_007_Hips_World.prefab","4","5","Hips","3"
"706","7","Leg","Preset_7 Leg","Chr_LegRight_Male_15;Chr_KneeAttachRight_09;Chr_LegLeft_Male_15","set_007_Leg.png","Assets/Game/Prefabs/Equipment/World/set_007_Leg_World.prefab","4","3","Leg","4"
"802","8","Body","Preset_8 Body","Chr_Torso_Female_26;Chr_ArmUpperRight_Female_09;Chr_ArmUpperLeft_Female_09;Chr_ShoulderAttachRight_01;Chr_ShoulderAttachLeft_01","set_008_Body.png","Assets/Game/Prefabs/Equipment/World/set_008_Body_World.prefab","4","6","Body","7"
"804","8","Forearm","Preset_8 Forearm","Chr_ArmLowerRight_Female_10;Chr_ArmLowerLeft_Female_12;Chr_HandRight_Female_10;Chr_HandLeft_Female_10","set_008_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_008_Forearm_World.prefab","2","3","Forearm","2"
"805","8","Hips","Preset_8 Hips","Chr_Hips_Female_18","set_008_Hips.png","Assets/Game/Prefabs/Equipment/World/set_008_Hips_World.prefab","4","5","Hips","3"
"806","8","Leg","Preset_8 Leg","Chr_LegRight_Female_10;Chr_KneeAttachRight_01;Chr_LegLeft_Female_10","set_008_Leg.png","Assets/Game/Prefabs/Equipment/World/set_008_Leg_World.prefab","4","3","Leg","4"
"807","8","Back","Preset_8 Back","Chr_BackAttachment_14","set_008_Back.png","Assets/Game/Prefabs/Equipment/World/set_008_Back_World.prefab","4","3","BackSlot","2"
"901","9","Head","Preset_9 Head","Chr_HeadCoverings_Base_Hair_03","set_009_Head.png","Assets/Game/Prefabs/Equipment/World/set_009_Head_World.prefab","3","3","Head","1.5"
"902","9","Body","Preset_9 Body","Chr_Torso_Male_12;Chr_ArmUpperRight_Male_18;Chr_ArmUpperLeft_Male_18;Chr_ShoulderAttachRight_06;Chr_ShoulderAttachLeft_04","set_009_Body.png","Assets/Game/Prefabs/Equipment/World/set_009_Body_World.prefab","4","6","Body","7"
"904","9","Forearm","Preset_9 Forearm","Chr_ArmLowerRight_Male_02;Chr_ArmLowerLeft_Male_02;Chr_HandRight_Male_02;Chr_HandLeft_Male_02","set_009_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_009_Forearm_World.prefab","2","3","Forearm","2"
"905","9","Hips","Preset_9 Hips","Chr_HipsAttachment_01;Chr_Hips_Male_07","set_009_Hips.png","Assets/Game/Prefabs/Equipment/World/set_009_Hips_World.prefab","4","5","Hips","3"
"906","9","Leg","Preset_9 Leg","Chr_LegRight_Male_06;Chr_KneeAttachRight_04;Chr_LegLeft_Male_06","set_009_Leg.png","Assets/Game/Prefabs/Equipment/World/set_009_Leg_World.prefab","4","3","Leg","4"
"1002","10","Body","Preset_10 Body","Chr_Torso_Male_07;Chr_ArmUpperRight_Male_13;Chr_ArmUpperLeft_Male_13;Chr_ShoulderAttachRight_19;Chr_ShoulderAttachLeft_04","set_010_Body.png","Assets/Game/Prefabs/Equipment/World/set_010_Body_World.prefab","4","6","Body","7"
"1004","10","Forearm","Preset_10 Forearm","Chr_ArmLowerRight_Male_09;Chr_ArmLowerLeft_Male_09;Chr_HandRight_Male_07;Chr_HandLeft_Male_07","set_010_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_010_Forearm_World.prefab","2","3","Forearm","2"
"1005","10","Hips","Preset_10 Hips","Chr_HipsAttachment_06;Chr_Hips_Male_20","set_010_Hips.png","Assets/Game/Prefabs/Equipment/World/set_010_Hips_World.prefab","4","5","Hips","3"
"1006","10","Leg","Preset_10 Leg","Chr_LegRight_Male_04;Chr_KneeAttachRight_09;Chr_LegLeft_Male_04;Chr_KneeAttachLeft_04","set_010_Leg.png","Assets/Game/Prefabs/Equipment/World/set_010_Leg_World.prefab","4","3","Leg","4"
"1102","11","Body","Preset_11 Body","Chr_Torso_Male_27;Chr_ArmUpperRight_Male_09;Chr_ArmUpperLeft_Male_14;Chr_ShoulderAttachRight_13;Chr_ShoulderAttachLeft_13","set_011_Body.png","Assets/Game/Prefabs/Equipment/World/set_011_Body_World.prefab","4","6","Body","7"
"1104","11","Forearm","Preset_11 Forearm","Chr_ArmLowerRight_Male_15;Chr_ArmLowerLeft_Male_11;Chr_HandRight_Male_16;Chr_HandLeft_Male_00","set_011_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_011_Forearm_World.prefab","2","3","Forearm","2"
"1105","11","Hips","Preset_11 Hips","Chr_HipsAttachment_08;Chr_Hips_Male_16","set_011_Hips.png","Assets/Game/Prefabs/Equipment/World/set_011_Hips_World.prefab","4","5","Hips","3"
"1106","11","Leg","Preset_11 Leg","Chr_LegRight_Male_10;Chr_KneeAttachRight_08;Chr_LegLeft_Male_10","set_011_Leg.png","Assets/Game/Prefabs/Equipment/World/set_011_Leg_World.prefab","4","3","Leg","4"
"1107","11","Back","Preset_11 Back","Chr_BackAttachment_04","set_011_Back.png","Assets/Game/Prefabs/Equipment/World/set_011_Back_World.prefab","4","3","BackSlot","2"
"1201","12","Head","Preset_12 Head","Chr_HeadCoverings_Base_Hair_11","set_012_Head.png","Assets/Game/Prefabs/Equipment/World/set_012_Head_World.prefab","3","3","Head","1.5"
"1202","12","Body","Preset_12 Body","Chr_Torso_Male_22;Chr_ArmUpperRight_Male_20;Chr_ArmUpperLeft_Male_20;Chr_ShoulderAttachRight_03;Chr_ShoulderAttachLeft_03","set_012_Body.png","Assets/Game/Prefabs/Equipment/World/set_012_Body_World.prefab","4","6","Body","7"
"1204","12","Forearm","Preset_12 Forearm","Chr_ArmLowerRight_Male_06;Chr_ArmLowerLeft_Male_13;Chr_HandRight_Male_06;Chr_HandLeft_Male_06","set_012_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_012_Forearm_World.prefab","2","3","Forearm","2"
"1205","12","Hips","Preset_12 Hips","Chr_HipsAttachment_02;Chr_Hips_Male_19","set_012_Hips.png","Assets/Game/Prefabs/Equipment/World/set_012_Hips_World.prefab","4","5","Hips","3"
"1206","12","Leg","Preset_12 Leg","Chr_LegRight_Male_10;Chr_LegLeft_Male_10;Chr_KneeAttachLeft_09","set_012_Leg.png","Assets/Game/Prefabs/Equipment/World/set_012_Leg_World.prefab","4","3","Leg","4"
"1207","12","Back","Preset_12 Back","Chr_BackAttachment_07","set_012_Back.png","Assets/Game/Prefabs/Equipment/World/set_012_Back_World.prefab","4","3","BackSlot","2"
"1302","13","Body","Preset_13 Body","Chr_Torso_Male_18;Chr_ArmUpperRight_Male_15;Chr_ArmUpperLeft_Male_15;Chr_ShoulderAttachRight_20;Chr_ShoulderAttachLeft_20","set_013_Body.png","Assets/Game/Prefabs/Equipment/World/set_013_Body_World.prefab","4","6","Body","7"
"1304","13","Forearm","Preset_13 Forearm","Chr_ArmLowerRight_Male_01;Chr_ArmLowerLeft_Male_01;Chr_HandRight_Male_16;Chr_HandLeft_Male_16","set_013_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_013_Forearm_World.prefab","2","3","Forearm","2"
"1305","13","Hips","Preset_13 Hips","Chr_HipsAttachment_12;Chr_Hips_Male_04","set_013_Hips.png","Assets/Game/Prefabs/Equipment/World/set_013_Hips_World.prefab","4","5","Hips","3"
"1306","13","Leg","Preset_13 Leg","Chr_LegRight_Male_04;Chr_LegLeft_Male_04;Chr_KneeAttachLeft_05","set_013_Leg.png","Assets/Game/Prefabs/Equipment/World/set_013_Leg_World.prefab","4","3","Leg","4"
"1307","13","Back","Preset_13 Back","Chr_BackAttachment_10","set_013_Back.png","Assets/Game/Prefabs/Equipment/World/set_013_Back_World.prefab","4","3","BackSlot","2"
"1401","14","Head","Preset_14 Head","Chr_HelmetAttachment_03","set_014_Head.png","Assets/Game/Prefabs/Equipment/World/set_014_Head_World.prefab","3","3","Head","1.5"
"1402","14","Body","Preset_14 Body","Chr_Torso_Male_23;Chr_ArmUpperRight_Male_03;Chr_ArmUpperLeft_Male_03","set_014_Body.png","Assets/Game/Prefabs/Equipment/World/set_014_Body_World.prefab","4","6","Body","7"
"1404","14","Forearm","Preset_14 Forearm","Chr_ArmLowerRight_Male_02;Chr_ArmLowerLeft_Male_09;Chr_HandRight_Male_17;Chr_HandLeft_Male_17","set_014_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_014_Forearm_World.prefab","2","3","Forearm","2"
"1405","14","Hips","Preset_14 Hips","Chr_HipsAttachment_06;Chr_Hips_Male_06","set_014_Hips.png","Assets/Game/Prefabs/Equipment/World/set_014_Hips_World.prefab","4","5","Hips","3"
"1406","14","Leg","Preset_14 Leg","Chr_LegRight_Male_14;Chr_KneeAttachRight_07;Chr_LegLeft_Male_14;Chr_KneeAttachLeft_09","set_014_Leg.png","Assets/Game/Prefabs/Equipment/World/set_014_Leg_World.prefab","4","3","Leg","4"
"1407","14","Back","Preset_14 Back","Chr_BackAttachment_11","set_014_Back.png","Assets/Game/Prefabs/Equipment/World/set_014_Back_World.prefab","4","3","BackSlot","2"
"1501","15","Head","Preset_15 Head","Chr_HelmetAttachment_10","set_015_Head.png","Assets/Game/Prefabs/Equipment/World/set_015_Head_World.prefab","3","3","Head","1.5"
"1502","15","Body","Preset_15 Body","Chr_Torso_Female_10;Chr_ArmUpperRight_Female_13;Chr_ArmUpperLeft_Female_13","set_015_Body.png","Assets/Game/Prefabs/Equipment/World/set_015_Body_World.prefab","4","6","Body","7"
"1504","15","Forearm","Preset_15 Forearm","Chr_ArmLowerRight_Female_07;Chr_ArmLowerLeft_Female_07;Chr_HandRight_Female_10;Chr_HandLeft_Female_10","set_015_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_015_Forearm_World.prefab","2","3","Forearm","2"
"1505","15","Hips","Preset_15 Hips","Chr_HipsAttachment_05;Chr_Hips_Female_14","set_015_Hips.png","Assets/Game/Prefabs/Equipment/World/set_015_Hips_World.prefab","4","5","Hips","3"
"1506","15","Leg","Preset_15 Leg","Chr_LegRight_Female_11;Chr_KneeAttachRight_01;Chr_LegLeft_Female_11;Chr_KneeAttachLeft_01","set_015_Leg.png","Assets/Game/Prefabs/Equipment/World/set_015_Leg_World.prefab","4","3","Leg","4"
"1507","15","Back","Preset_15 Back","Chr_BackAttachment_08","set_015_Back.png","Assets/Game/Prefabs/Equipment/World/set_015_Back_World.prefab","4","3","BackSlot","2"
"1601","16","Head","Preset_16 Head","Chr_HelmetAttachment_04","set_016_Head.png","Assets/Game/Prefabs/Equipment/World/set_016_Head_World.prefab","3","3","Head","1.5"
"1602","16","Body","Preset_16 Body","Chr_Torso_Female_18;Chr_ArmUpperRight_Female_20;Chr_ArmUpperLeft_Female_20;Chr_ShoulderAttachRight_21;Chr_ShoulderAttachLeft_21","set_016_Body.png","Assets/Game/Prefabs/Equipment/World/set_016_Body_World.prefab","4","6","Body","7"
"1604","16","Forearm","Preset_16 Forearm","Chr_ArmLowerRight_Female_03;Chr_ArmLowerLeft_Female_03;Chr_HandRight_Female_11;Chr_HandLeft_Female_11","set_016_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_016_Forearm_World.prefab","2","3","Forearm","2"
"1605","16","Hips","Preset_16 Hips","Chr_HipsAttachment_05;Chr_Hips_Female_22","set_016_Hips.png","Assets/Game/Prefabs/Equipment/World/set_016_Hips_World.prefab","4","5","Hips","3"
"1606","16","Leg","Preset_16 Leg","Chr_LegRight_Female_02;Chr_KneeAttachRight_08;Chr_LegLeft_Female_02;Chr_KneeAttachLeft_08","set_016_Leg.png","Assets/Game/Prefabs/Equipment/World/set_016_Leg_World.prefab","4","3","Leg","4"
"1607","16","Back","Preset_16 Back","Chr_BackAttachment_09","set_016_Back.png","Assets/Game/Prefabs/Equipment/World/set_016_Back_World.prefab","4","3","BackSlot","2"
"1702","17","Body","Preset_17 Body","Chr_Torso_Male_27;Chr_ArmUpperRight_Male_10;Chr_ArmUpperLeft_Male_10;Chr_ShoulderAttachRight_14;Chr_ShoulderAttachLeft_14","set_017_Body.png","Assets/Game/Prefabs/Equipment/World/set_017_Body_World.prefab","4","6","Body","7"
"1704","17","Forearm","Preset_17 Forearm","Chr_ArmLowerRight_Male_00;Chr_ArmLowerLeft_Male_00;Chr_HandRight_Male_10;Chr_HandLeft_Male_10","set_017_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_017_Forearm_World.prefab","2","3","Forearm","2"
"1705","17","Hips","Preset_17 Hips","Chr_HipsAttachment_05;Chr_Hips_Male_28","set_017_Hips.png","Assets/Game/Prefabs/Equipment/World/set_017_Hips_World.prefab","4","5","Hips","3"
"1706","17","Leg","Preset_17 Leg","Chr_LegRight_Male_14;Chr_KneeAttachRight_07;Chr_LegLeft_Male_14","set_017_Leg.png","Assets/Game/Prefabs/Equipment/World/set_017_Leg_World.prefab","4","3","Leg","4"
"1801","18","Head","Preset_18 Head","Chr_HeadCoverings_No_Hair_10","set_018_Head.png","Assets/Game/Prefabs/Equipment/World/set_018_Head_World.prefab","3","3","Head","1.5"
"1802","18","Body","Preset_18 Body","Chr_Torso_Male_10;Chr_ArmUpperRight_Male_12;Chr_ArmUpperLeft_Male_12","set_018_Body.png","Assets/Game/Prefabs/Equipment/World/set_018_Body_World.prefab","4","6","Body","7"
"1804","18","Forearm","Preset_18 Forearm","Chr_ArmLowerRight_Male_15;Chr_ArmLowerLeft_Male_15;Chr_HandRight_Male_01;Chr_HandLeft_Male_01","set_018_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_018_Forearm_World.prefab","2","3","Forearm","2"
"1805","18","Hips","Preset_18 Hips","Chr_HipsAttachment_01;Chr_Hips_Male_26","set_018_Hips.png","Assets/Game/Prefabs/Equipment/World/set_018_Hips_World.prefab","4","5","Hips","3"
"1806","18","Leg","Preset_18 Leg","Chr_LegRight_Male_11;Chr_LegLeft_Male_11","set_018_Leg.png","Assets/Game/Prefabs/Equipment/World/set_018_Leg_World.prefab","4","3","Leg","4"
"1807","18","Back","Preset_18 Back","Chr_BackAttachment_12","set_018_Back.png","Assets/Game/Prefabs/Equipment/World/set_018_Back_World.prefab","4","3","BackSlot","2"
"1901","19","Head","Preset_19 Head","Chr_HeadCoverings_Base_Hair_10","set_019_Head.png","Assets/Game/Prefabs/Equipment/World/set_019_Head_World.prefab","3","3","Head","1.5"
"1902","19","Body","Preset_19 Body","Chr_Torso_Female_26;Chr_ArmUpperRight_Female_02;Chr_ArmUpperLeft_Female_02;Chr_ShoulderAttachRight_01;Chr_ShoulderAttachLeft_01","set_019_Body.png","Assets/Game/Prefabs/Equipment/World/set_019_Body_World.prefab","4","6","Body","7"
"1904","19","Forearm","Preset_19 Forearm","Chr_ArmLowerRight_Female_02;Chr_ArmLowerLeft_Female_02;Chr_HandRight_Female_14;Chr_HandLeft_Female_14","set_019_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_019_Forearm_World.prefab","2","3","Forearm","2"
"1905","19","Hips","Preset_19 Hips","Chr_Hips_Female_15","set_019_Hips.png","Assets/Game/Prefabs/Equipment/World/set_019_Hips_World.prefab","4","5","Hips","3"
"1906","19","Leg","Preset_19 Leg","Chr_LegRight_Female_14;Chr_LegLeft_Female_14;Chr_KneeAttachLeft_03","set_019_Leg.png","Assets/Game/Prefabs/Equipment/World/set_019_Leg_World.prefab","4","3","Leg","4"
"1907","19","Back","Preset_19 Back","Chr_BackAttachment_03","set_019_Back.png","Assets/Game/Prefabs/Equipment/World/set_019_Back_World.prefab","4","3","BackSlot","2"
"2001","20","Head","Preset_20 Head","Chr_HeadCoverings_No_Hair_01","set_020_Head.png","Assets/Game/Prefabs/Equipment/World/set_020_Head_World.prefab","3","3","Head","1.5"
"2002","20","Body","Preset_20 Body","Chr_Torso_Male_01;Chr_ArmUpperRight_Male_20;Chr_ArmUpperLeft_Male_20;Chr_ShoulderAttachRight_18;Chr_ShoulderAttachLeft_21","set_020_Body.png","Assets/Game/Prefabs/Equipment/World/set_020_Body_World.prefab","4","6","Body","7"
"2004","20","Forearm","Preset_20 Forearm","Chr_ArmLowerRight_Male_00;Chr_ArmLowerLeft_Male_00;Chr_HandRight_Male_08;Chr_HandLeft_Male_09","set_020_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_020_Forearm_World.prefab","2","3","Forearm","2"
"2005","20","Hips","Preset_20 Hips","Chr_HipsAttachment_11;Chr_Hips_Male_23","set_020_Hips.png","Assets/Game/Prefabs/Equipment/World/set_020_Hips_World.prefab","4","5","Hips","3"
"2006","20","Leg","Preset_20 Leg","Chr_LegRight_Male_13;Chr_KneeAttachRight_03;Chr_LegLeft_Male_13;Chr_KneeAttachLeft_03","set_020_Leg.png","Assets/Game/Prefabs/Equipment/World/set_020_Leg_World.prefab","4","3","Leg","4"
"2102","21","Body","Preset_21 Body","Chr_Torso_Male_27;Chr_ArmUpperRight_Male_19;Chr_ArmUpperLeft_Male_09;Chr_ShoulderAttachRight_19;Chr_ShoulderAttachLeft_06","set_021_Body.png","Assets/Game/Prefabs/Equipment/World/set_021_Body_World.prefab","4","6","Body","7"
"2104","21","Forearm","Preset_21 Forearm","Chr_ArmLowerRight_Male_10;Chr_ArmLowerLeft_Male_10;Chr_HandRight_Male_01;Chr_HandLeft_Male_01","set_021_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_021_Forearm_World.prefab","2","3","Forearm","2"
"2105","21","Hips","Preset_21 Hips","Chr_HipsAttachment_09;Chr_Hips_Male_23","set_021_Hips.png","Assets/Game/Prefabs/Equipment/World/set_021_Hips_World.prefab","4","5","Hips","3"
"2106","21","Leg","Preset_21 Leg","Chr_LegRight_Male_13;Chr_KneeAttachRight_10;Chr_LegLeft_Male_13;Chr_KneeAttachLeft_10","set_021_Leg.png","Assets/Game/Prefabs/Equipment/World/set_021_Leg_World.prefab","4","3","Leg","4"
"2107","21","Back","Preset_21 Back","Chr_BackAttachment_01","set_021_Back.png","Assets/Game/Prefabs/Equipment/World/set_021_Back_World.prefab","4","3","BackSlot","2"
"2202","22","Body","Preset_22 Body","Chr_Torso_Female_15;Chr_ArmUpperRight_Female_05;Chr_ArmUpperLeft_Female_05;Chr_ShoulderAttachRight_14;Chr_ShoulderAttachLeft_14","set_022_Body.png","Assets/Game/Prefabs/Equipment/World/set_022_Body_World.prefab","4","6","Body","7"
"2204","22","Forearm","Preset_22 Forearm","Chr_ArmLowerRight_Female_11;Chr_ArmLowerLeft_Female_11;Chr_HandRight_Female_04;Chr_HandLeft_Female_06","set_022_Forearm.png","Assets/Game/Prefabs/Equipment/World/set_022_Forearm_World.prefab","2","3","Forearm","2"
"2205","22","Hips","Preset_22 Hips","Chr_Hips_Female_07","set_022_Hips.png","Assets/Game/Prefabs/Equipment/World/set_022_Hips_World.prefab","4","5","Hips","3"
"2206","22","Leg","Preset_22 Leg","Chr_LegRight_Female_03;Chr_KneeAttachRight_02;Chr_LegLeft_Female_03","set_022_Leg.png","Assets/Game/Prefabs/Equipment/World/set_022_Leg_World.prefab","4","3","Leg","4"
"2301","23","Head","Preset_23 Head","Chr_HeadCoverings_Base_Hair_09","set_023_Head.png","Assets/Game/Prefabs/Equipment/World/set_023_Head_World.prefab","3","3","Head","1.5"
"2302","23","Body","Preset_23 Body","Chr_Torso_Male_12;Chr_ArmUpperRight_Male_06;Chr_ArmUpperLeft_Male_16","set_023_Body.png","Assets/Game/Prefabs/Equipment/World/set_023_Body_World.prefab","4","6","Body","7"
